SPINK1,EGFR,KDR,HAVCR2,CTLA4,KRAS,TGFB1,ITGA2,CMPK1,APC,ACTR2,ERBB2,PDCD1,PFN1,GPC3,TACSTD2,CDH17,MYC,CCND1,TP53,COPS5
8.4553,7.6511,8.2336,4.7004,5.6724,7.2384,9.8154,6.6582,8.1085,4.7004,9.9672,11.883,5.6724,16.136,5.6724,7.4594,10.753,11.784,12.02,8.5546,9.0389
7.5304,6.5312,11.217,7.0677,6.653,9.5387,10.139,10.303,12.731,8.5441,12.219,12.497,5.0708,12.904,6.7041,9.0911,11.076,11.743,13.926,8.5855,10.055
10.759,8.7223,6.8818,4.918,7.0236,9.9725,9.3742,10.497,12.867,8.5125,12.288,13.035,5.4473,14.531,4.7322,9.1939,14.636,11.536,12.458,11.177,9.9864
11.012,7.7548,7.7476,5.8445,4.8694,9.7498,9.3207,10.093,12.106,8.582,12.542,12.625,6.9758,13.935,11.477,11.928,14.374,11.886,11.833,11.349,10.882
10.346,8.653,9.2259,7.7979,4.819,10.331,10.287,10.75,12.469,9.1866,12.672,12.305,4.2902,14.31,7.0192,10.789,13.484,11.614,12.563,11.085,10.21
9.1489,9.1256,8.1743,7.7559,7.891,9.5439,9.3228,10.345,11.48,8.4238,12.04,11.628,5.1015,13.996,5.945,7.8536,12.392,11.94,12.034,11.921,10.148
10.734,9.4355,6.6822,5.494,4.0227,10.609,9.2231,10.579,11.517,8.8088,12.195,12.171,3.4815,14.402,4.6281,6.3032,14.257,12.899,12.531,11.063,10.505
11.413,8.2595,8.2224,6.0268,5.3465,10.238,8.6614,10.74,12,8.954,12.385,12.469,4.2102,13.499,10.116,8.1823,13.835,13.012,12.575,10.99,10.474
12.945,8.1734,8.148,6.0786,5.5306,10.334,9.4986,11.184,11.831,8.6411,12.084,11.868,4.6363,14.672,7.2093,9.4134,13.873,13.096,12.18,11.225,10.392
11.59,8.8818,5.9232,4.5574,2.9319,8.7857,8.0203,9.6665,10.468,6.0441,9.99,13.001,2.6565,14.439,3.3623,7.3933,12.753,13.903,12.146,11.604,10.659
10.475,8.9348,7.5358,5.8834,4.9076,10.298,9.1931,11.13,11.762,8.6466,12.895,12.101,3.6186,13.392,6.0329,8.2896,13.955,13.626,13.028,8.4243,11.224
